Date,station,river_hight,rainfall
6/14/2024,Putupaula,0.75,1.4
6/14/2024,Ellagawa,5.25,0
6/14/2024,Rathnapura,1.38,0
6/14/2024,Magura,1.75,0
6/14/2024,Kalawellawa,2.47,0
6/13/2024,Putupaula,0.92,5
6/13/2024,Ellagawa,5.64,10.9
6/13/2024,Rathnapura,1.58,0.3
6/13/2024,Magura,2.1,2.3
6/13/2024,Kalawellawa,3.46,0
6/12/2024,Putupaula,0.92,2.4
6/12/2024,Ellagawa,5.73,0.8
6/12/2024,Rathnapura,1.74,3.2
6/12/2024,Magura,2.11,7.9
6/12/2024,Kalawellawa,3.49,8.7
6/12/2024,Putupaula,1.28,4.1
6/11/2024,Ellagawa,6.19,6.4
6/11/2024,Rathnapura,1.96,1.1
6/11/2024,Magura,2.18,3.8
6/11/2024,Kalawellawa,4.02,3.4
6/10/2024,Putupaula,2.06,18.2
6/10/2024,Ellagawa,7.54,5.6
6/10/2024,Rathnapura,2.74,6.7
6/10/2024,Magura,2.45,2.1
6/10/2024,Kalawellawa,5.29,0
6/9/2024,Putupaula,2.28,1.2
6/9/2024,Ellagawa,6.88,32.2
6/9/2024,Rathnapura,3.1,42.3
6/9/2024,Magura,2.62,16.9
6/9/2024,Kalawellawa,5.68,18.5
6/8/2024,Putupaula,3.41,9.9
6/8/2024,Ellagawa,7.57,32.8
6/8/2024,Rathnapura,3.31,7.7
6/8/2024,Magura,2.83,6.1
6/8/2024,Kalawellawa,6.8,26.4
6/7/2024,Putupaula,4.38,2.8
6/7/2024,Ellagawa,9.12,10.5
6/7/2024,Rathnapura,3.32,23.2
6/7/2024,Magura,3.03,32.9
6/7/2024,Kalawellawa,7.76,8.8
6/5/2024,Putupaula,5.48,0
6/5/2024,Ellagawa,11.64,9.5
6/5/2024,Rathnapura,6.02,15.4
6/5/2024,Magura,4.21,0
6/5/2024,Kalawellawa,9.9,6.7
6/4/2024,Putupaula,5.52,1
6/4/2024,Ellagawa,12.53,5.4
6/4/2024,Rathnapura,7.2,1.4
6/4/2024,Magura,5.36,0
6/4/2024,Kalawellawa,,
6/3/2024,Putupaula,5.02,23.2
6/3/2024,Ellagawa,12.77,71.8
6/3/2024,Rathnapura,8.47,72.2
6/3/2024,Magura,6.62,11.4
6/3/2024,Kalawellawa,11.34,22.2
6/2/2024,Putupaula,3.81,33.7
6/2/2024,Ellagawa,12.06,457.9
6/2/2024,Rathnapura,8.22,180.5
6/2/2024,Magura,7.1,162.5
6/2/2024,Kalawellawa,8.55,149.8
6/1/2024,Putupaula,2.83,32.5
6/1/2024,Ellagawa,8.6,65
6/1/2024,Rathnapura,3.76,23.9
6/1/2024,Magura,5.27,47.6
6/1/2024,Kalawellawa,6.35,61
5/31/2024,Putupaula,2.81,1.3
5/31/2024,Ellagawa,9,1.9
5/31/2024,Rathnapura,4.72,0.7
